restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g1096209-d23300801,Tiffins by NEBU,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Jeremiášova 1249/7 MAKRO Stodůlky, Prague 15000 Czech Republic",50.041443,14.316185,Claimed,,#3180 of 4632 Restaurants in Prague,#3705 of 6176 places to eat in Prague,"Italian, Indian, Contemporary, Pub",,,"Lunch, Dinner, Drinks","Italian, Indian, Contemporary, Pub, Gastropub",,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, BYOB, Dog Friendly, Non-smoking restaurants, Gift Cards Available",N,N,N,"{""Mon"": [""10:00-21:00""], ""Tue"": [""10:00-21:00""], ""Wed"": [""10:00-21:00""], ""Thu"": [""10:00-21:00""], ""Fri"": [""10:00-21:00""], ""Sat"": [""10:00-21:00""], ""Sun"": [""10:00-21:00""]}",7.0,77.0,7.0,5.0,1.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d10004577,The Spot Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Chodska 1383/22, Prague 120 00 Czech Republic",50.07582,14.44583,Unclaimed,,,,,,,"Breakfast, Lunch, Dinner",,,,N,N,N,"{""Mon"": [""07:00-19:00""], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": []}",1.0,12.0,1.0,,,,,,,,,,,,,,
g274707-d10005582,Wine Deli,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karoliny Svetle 328/35, Prague 110 00 Czech Republic",50.083977,14.414141,Unclaimed,,#2288 of 4632 Restaurants in Prague,#2725 of 6176 places to eat in Prague,Mid-range,€€-€€€,€4-€15,,,,,N,N,N,,,,,5.0,6.0,English,5.0,5.0,0.0,0.0,0.0,0.0,,,,,
g274707-d10021789,Restaurant Alche-Mia,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Bilkova 861/14, Prague 110 00 Czech Republic",50.09104,14.421202,Claimed,Certificate of Excellence 2017,#1062 of 4632 Restaurants in Prague,#1262 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,€3-€19,"Dinner, Lunch","Czech, European",,,N,N,N,"{""Mon"": [""11:30-00:00""], ""Tue"": [""11:30-00:00""], ""Wed"": [""11:30-00:00""], ""Thu"": [""11:30-00:00""], ""Fri"": [""11:30-00:00""], ""Sat"": [""11:30-00:00""], ""Sun"": []}",6.0,75.0,6.0,4.5,38.0,English,13.0,9.0,3.0,0.0,1.0,0.0,4.5,4.5,4.5,,
g274707-d10022835,Restaurace Šalanda,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Wilsonova 8, Prague Czech Republic",50.083355,14.433536,Claimed,,#4370 of 4632 Restaurants in Prague,#4983 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,,Lunch,"Bar, European, Pub, Czech, Central European",,"Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Reservations",N,N,N,,,,,3.0,76.0,English,28.0,2.0,8.0,10.0,1.0,7.0,3.0,3.0,3.0,,
g274707-d10023401,Bridge Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Novotneho lavka 200/3, Prague 110 00 Czech Republic",50.0853,14.413288,Unclaimed,,#4535 of 4632 Restaurants in Prague,#5159 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,,"Lunch, Dinner","Bar, European, Eastern European, Central European, Czech",,"Seating, Serves Alcohol, Table Service, Full Bar",N,N,N,,,,,2.5,99.0,English,47.0,8.0,6.0,12.0,7.0,14.0,3.5,3.0,3.0,,
g274707-d10026163,Creme De La Creme,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Husova 12, Prague 110 00 Czech Republic",50.085686,14.418253,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#5 of 202 Dessert Spots in Prague,#80 of 6176 places to eat in Prague,"Cheap Eats, Dessert, Cafe, Vegetarian Friendly",€,,,Cafe,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Free Wifi, Accepts Credit Cards",Y,Y,Y,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-22:00""]}",7.0,79.0,7.0,4.5,741.0,English,352.0,283.0,53.0,7.0,3.0,6.0,4.5,4.5,4.5,,"gelato, ice cream, gelateria, waffle cone, sorbet"
g274707-d10027206,Sapori Italiani,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Preslova 11/1256, Prague 15000 Czech Republic",50.07399,14.40642,Unclaimed,,#3803 of 4632 Restaurants in Prague,#4370 of 6176 places to eat in Prague,Cheap Eats,€,€1-€8,,,,,N,N,N,,,,,4.0,1.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10031086,Bun Noodles,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Milady Horakove 526/77, Prague 170 00 Czech Republic",50.09907,14.4165,Unclaimed,,#3412 of 4632 Restaurants in Prague,#3953 of 6176 places to eat in Prague,,,,,,,,N,N,N,,,,,4.5,2.0,English,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10032997,Periferie Cafe,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Branicka 49, Prague 140 00 Czech Republic",50.036957,14.412217,Unclaimed,,#1594 of 4632 Restaurants in Prague,#1911 of 6176 places to eat in Prague,"Mid-range, Cafe",€€-€€€,,"Breakfast, Lunch, Dinner",Cafe,,,N,N,N,"{""Mon"": [""08:30-22:00""], ""Tue"": [""08:30-22:00""], ""Wed"": [""08:30-22:00""], ""Thu"": [""08:30-22:00""], ""Fri"": [""08:30-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""14:00-20:00""]}",7.0,85.5,7.0,4.5,15.0,English,3.0,2.0,1.0,0.0,0.0,0.0,4.5,4.0,4.5,,
